numXbins 5
numYbins 5
xbin  ybin  z
0  0  8.77725557531655598e-04
0  1  3.18521267546317507e-04
0  2  4.47417932296222186e-04
0  3  1.02042229863881094e-03
0  4  1.49463452616417723e-03
1  0  3.18521267546317561e-04
1  1  1.17923943567568900e-03
1  2  1.67906594149790625e-06
1  3  -1.68446956568553120e-04
1  4  1.49591144676697492e-03
2  0  4.47417932296222294e-04
2  1  1.67906594149804728e-06
2  2  4.00704001385297304e-04
2  3  4.45256072334929219e-04
2  4  8.94535399180513202e-04
3  0  1.02042229863881094e-03
3  1  -1.68446956568553500e-04
3  2  4.45256072334929056e-04
3  3  2.01324915547271841e-03
3  4  1.10415070370719053e-03
4  0  1.49463452616417744e-03
4  1  1.49591144676697492e-03
4  2  8.94535399180512877e-04
4  3  1.10415070370719075e-03
4  4  3.96703831042747278e-03
