numXbins 5
numYbins 5
xbin  ybin  z
0  0  5.63372205275820535e-06
0  1  1.97345398658102054e-06
0  2  3.38167792890654520e-06
0  3  5.22524092668480494e-06
0  4  1.02540262433910700e-05
1  0  1.97345398658102139e-06
1  1  6.91287323137606771e-07
1  2  1.18457845943364609e-06
1  3  1.83036586488392878e-06
1  4  3.59191468429282329e-06
2  0  3.38167792890654605e-06
2  1  1.18457845943364546e-06
2  2  2.02987394616936379e-06
2  3  3.13648450340891888e-06
2  4  6.15504526225733921e-06
3  0  5.22524092668480579e-06
3  1  1.83036586488392920e-06
3  2  3.13648450340891888e-06
3  3  4.84637731258583737e-06
3  4  9.51054331195395638e-06
4  0  1.02540262433910700e-05
4  1  3.59191468429282372e-06
4  2  6.15504526225733921e-06
4  3  9.51054331195395468e-06
4  4  1.86635146738691095e-05
