numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.65944010449662837e-04
0  1  -3.56566742711081981e-04
0  2  1.40085861674031116e-04
0  3  1.79366633615947446e-04
0  4  -2.28829763028557927e-04
1  0  -3.56566742711081819e-04
1  1  1.30732630269105878e-03
1  2  -6.27995268212093059e-04
1  3  -6.64316921063195088e-04
1  4  3.41552629295312703e-04
2  0  1.40085861674031875e-04
2  1  -6.27995268212092842e-04
2  2  4.75596450584510355e-04
2  3  -8.06539310944464727e-05
2  4  9.29668870479991857e-05
3  0  1.79366633615947826e-04
3  1  -6.64316921063195522e-04
3  2  -8.06539310944472316e-05
3  3  1.28959150166222465e-03
3  4  -7.23987283120527286e-04
4  0  -2.28829763028557927e-04
4  1  3.41552629295312703e-04
4  2  9.29668870479991857e-05
4  3  -7.23987283120527286e-04
4  4  5.18297529805777078e-04
