numXbins 5
numYbins 5
xbin  ybin  z
0  0  5.38542007189270898e-06
0  1  -9.90748924203334404e-07
0  2  1.62636199254852306e-06
0  3  2.02640557247247358e-07
0  4  2.90601932026199247e-07
1  0  -9.90748924203334615e-07
1  1  1.82381370544952056e-07
1  2  -2.99280141683891542e-07
1  3  -3.68246770098455736e-08
1  4  -5.33042721033791993e-08
2  0  1.62636199254852285e-06
2  1  -2.99280141683891489e-07
2  2  4.91207199683299698e-07
2  3  6.08769420608764013e-08
2  4  8.76494467611605315e-08
3  0  2.02640557247247543e-07
3  1  -3.68246770098455670e-08
3  2  6.08769420608763749e-08
3  3  9.43109042420414604e-09
3  4  1.15596868842494323e-08
4  0  2.90601932026199194e-07
4  1  -5.33042721033791067e-08
4  2  8.76494467611604123e-08
4  3  1.15596868842494687e-08
4  4  1.58974186002623993e-08
