numXbins 5
numYbins 5
xbin  ybin  z
0  0  5.32349384980688270e-06
0  1  -1.00419151739343949e-06
0  2  1.62508886019854701e-06
0  3  1.01690432549949903e-07
0  4  2.53133512601663992e-07
1  0  -1.00419151739343928e-06
1  1  1.89424583188260709e-07
1  2  -3.06546883393347567e-07
1  3  -1.91822650026042138e-08
1  4  -4.77495669750454416e-08
2  0  1.62508886019854722e-06
2  1  -3.06546883393347619e-07
2  2  4.96086569844955373e-07
2  3  3.10427688634768025e-08
2  4  7.72733965846161981e-08
3  0  1.01690432549949943e-07
3  1  -1.91822650026042303e-08
3  2  3.10427688634768091e-08
3  3  1.94251075777444101e-09
3  4  4.83540642961109935e-09
4  0  2.53133512601663992e-07
4  1  -4.77495669750453821e-08
4  2  7.72733965846162378e-08
4  3  4.83540642961113079e-09
4  4  1.20365641456279614e-08
