numXbins 5
numYbins 5
xbin  ybin  z
0  0  4.44021549249637840e-06
0  1  -8.87745356979892904e-07
0  2  1.50726710534948003e-06
0  3  -8.23743743376082352e-08
0  4  4.15223519110983433e-07
1  0  -8.87745356979892904e-07
1  1  2.24827758457402717e-07
1  2  -3.55404447205794917e-07
1  3  5.48953054354654921e-08
1  4  -1.24811668326656118e-07
2  0  1.50726710534947982e-06
2  1  -3.55404447205794864e-07
2  2  5.73372218994519281e-07
2  3  -7.18384765398499678e-08
2  4  1.88673464989442400e-07
3  0  -8.23743743376086720e-08
3  1  5.48953054354651679e-08
3  2  -7.18384765398499810e-08
3  3  3.27197848295652437e-08
3  4  -4.16293711993798868e-08
4  0  4.15223519110983275e-07
4  1  -1.24811668326655933e-07
4  2  1.88673464989442294e-07
4  3  -4.16293711993799662e-08
4  4  7.57298699526689987e-08
