numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.91231965212336896e+00
0  1  -2.50221037587647421e+00
0  2  -1.68108812147094722e-02
0  3  1.38256745745790632e+00
0  4  1.18367562986539654e+00
1  0  -1.06075918494502472e-01
1  1  4.94036133400853661e+00
1  2  -6.33785006754651548e+00
1  3  9.55881079048171212e-01
1  4  1.10588387555234657e+00
2  0  3.03032951929569971e-01
2  1  -4.47752097873685084e+00
2  2  2.54222146613653432e+00
2  3  -3.36906753766740064e-01
2  4  1.20288819895374699e+00
3  0  5.53385562659437294e-02
3  1  -3.04663014790244491e+00
3  2  -3.11096879890541356e+00
3  3  4.60714228540503434e+00
3  4  1.32014380404416798e+00
4  0  -1.78520109038399960e-01
4  1  -3.21984336714726904e+00
4  2  -4.35871878670993329e+00
4  3  1.69894929479763146e+00
4  4  4.29402046296372752e+00
