numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.33103047609563592e-05
0  1  -1.67428678589934102e-08
0  2  -7.92931143763619747e-07
0  3  -5.44763373094654270e-06
0  4  -1.87416800346044337e-06
1  0  -1.67428678589932051e-08
1  1  1.62300457183953057e-05
1  2  4.62103974085425988e-06
1  3  6.14012913531035648e-06
1  4  2.23244059656025627e-06
2  0  -7.92931143763619747e-07
2  1  4.62103974085425988e-06
2  2  1.07131899259001300e-05
2  3  -3.53005795016769772e-07
2  4  -5.78405661080952905e-06
3  0  -5.44763373094654270e-06
3  1  6.14012913531035648e-06
3  2  -3.53005795016769719e-07
3  3  1.74667685733953107e-05
3  4  4.66390670400624444e-06
4  0  -1.87416800346044252e-06
4  1  2.23244059656025712e-06
4  2  -5.78405661080953074e-06
4  3  4.66390670400624359e-06
4  4  2.04988451841224765e-05
