numXbins 4
numYbins 4
xbin  ybin  z
0  0  3.68764523030461086e-06
0  1  5.98280879318869580e-06
0  2  1.15487436002458943e-05
0  3  1.96747224214732032e-05
1  0  5.98280879318869411e-06
1  1  9.70646545977507105e-06
1  2  1.87365975973034478e-05
1  3  3.19201265185191035e-05
2  0  1.15487436002458943e-05
2  1  1.87365975973034444e-05
2  2  3.61676545368773699e-05
2  3  6.16161020003635736e-05
3  0  1.96747224214731930e-05
3  1  3.19201265185190967e-05
3  2  6.16161020003635872e-05
3  3  1.04970700321420314e-04
