numXbins 4
numYbins 4
xbin  ybin  z
0  0  1.03893159678370704e-06
0  1  1.57249157823859026e-06
0  2  3.93614925217534242e-06
0  3  -4.64764294692980915e-06
1  0  1.57249157823859047e-06
1  1  2.38006984414209250e-06
1  2  5.95762181927790726e-06
1  3  -7.03451451022585759e-06
2  0  3.93614925217534242e-06
2  1  5.95762181927790726e-06
2  2  1.49126958727254962e-05
2  3  -1.76082971839235692e-05
3  0  -4.64764294692980915e-06
3  1  -7.03451451022585928e-06
3  2  -1.76082971839235692e-05
3  3  2.07911522077265027e-05
