numXbins 4
numYbins 4
xbin  ybin  z
0  0  9.34268776990633217e-07
0  1  1.51161209838227625e-06
0  2  2.92852914102952941e-06
0  3  4.99374376812555113e-06
1  0  1.51161209838227709e-06
1  1  2.44573209792558383e-06
1  2  4.73825112116497582e-06
1  3  8.07969149994976755e-06
2  0  2.92852914102952983e-06
2  1  4.73825112116497497e-06
2  2  9.17967413776169444e-06
2  3  1.56532301067542931e-05
3  0  4.99374376812555113e-06
3  1  8.07969149994976755e-06
3  2  1.56532301067542931e-05
3  3  2.66919728410690574e-05
