numXbins 4
numYbins 4
xbin  ybin  z
0  0  3.66031451704129493e-06
0  1  3.42615308492202456e-06
0  2  2.25914474663183999e-06
0  3  6.76197206808313683e-06
1  0  3.42615308492202414e-06
1  1  3.20698975998962223e-06
1  2  2.11463475721577172e-06
1  3  6.32919529730982738e-06
2  0  2.25914474663183999e-06
2  1  2.11463475721577172e-06
2  2  1.39435468728549160e-06
2  3  4.17333351684145900e-06
3  0  6.76197206808313514e-06
3  1  6.32919529730982823e-06
3  2  4.17333351684146069e-06
3  3  1.24939522255183901e-05
