numXbins 4
numYbins 4
xbin  ybin  z
0  0  2.71640825737120132e-06
0  1  1.89349991339352321e-06
0  2  -5.59094868698818582e-07
0  3  -4.00584155220841383e-07
1  0  1.89349991339352363e-06
1  1  1.62206280391897247e-06
1  2  8.13382125669703398e-07
1  3  2.53418079905524024e-06
2  0  -5.59094868698819111e-07
2  1  8.13382125669704245e-07
2  2  4.90514500830038462e-06
2  3  1.12838367160405289e-05
3  0  -4.00584155220840325e-07
3  1  2.53418079905523940e-06
3  2  1.12838367160405289e-05
3  3  2.62530657708556443e-05
