numXbins 4
numYbins 4
xbin  ybin  z
0  0  4.81050308904218523e-06
0  1  4.33495084833128687e-06
0  2  1.37758860557925959e-06
0  3  1.58428375648532634e-06
1  0  4.33495084833128602e-06
1  1  3.90656440765312017e-06
1  2  1.24918981046909185e-06
1  3  1.46096364790281178e-06
2  0  1.37758860557925937e-06
2  1  1.24918981046909185e-06
2  2  7.87854255154763806e-07
2  3  2.13599342842629924e-06
3  0  1.58428375648532612e-06
3  1  1.46096364790281136e-06
3  2  2.13599342842629839e-06
3  3  7.71666749530409805e-06
