numXbins 4
numYbins 4
xbin  ybin  z
0  0  1.15150201762481173e-04
0  1  4.40752243867154400e-05
0  2  4.93103083820063126e-05
0  3  2.74330755967815783e-04
1  0  4.40752243867154400e-05
1  1  6.75986304273645941e-05
1  2  1.04126005115756382e-04
1  3  1.48385783977811688e-04
2  0  4.93103083820063464e-05
2  1  1.04126005115756369e-04
2  2  2.38318089040078510e-04
2  3  3.95971984187143899e-04
3  0  2.74330755967815837e-04
3  1  1.48385783977811688e-04
3  2  3.95971984187143790e-04
3  3  1.53000197949052083e-03
