numXbins 4
numYbins 4
xbin  ybin  z
0  0  1.26737080841463766e-08
0  1  -2.56686274758864799e-07
0  2  -5.81690242628945092e-07
0  3  -5.57423215438600212e-07
1  0  -2.56686274758863634e-07
1  1  5.27368631297002161e-06
1  2  1.19393402713597275e-05
1  3  1.14316978979770369e-05
2  0  -5.81690242628944880e-07
2  1  1.19393402713597292e-05
2  2  2.70318021884608630e-05
2  3  2.58839164375764600e-05
3  0  -5.57423215438601270e-07
3  1  1.14316978979770335e-05
3  2  2.58839164375764532e-05
3  3  2.47859787460899059e-05
