numXbins 7
numYbins 7
xbin  ybin  z
0  0  2.86621049977838993e-01
0  1  9.21318079344928265e-02
0  2  1.40340960584580898e-01
0  3  8.54127930942922831e-02
0  4  1.24408952775411308e-01
0  5  1.80666080559603870e-02
0  6  6.52440566045697778e-03
1  0  2.11071198340505362e-01
1  1  8.13032197766005993e-02
1  2  1.00951817817986012e-01
1  3  1.04202224174514413e-01
1  4  1.45094068488106132e-01
1  5  4.63672383630182594e-02
1  6  7.35623526270501316e-03
2  0  1.50951913092285395e-01
2  1  3.32547463476657867e-02
2  2  8.01444118842482567e-02
2  3  1.26440719002857804e-01
2  4  1.63808807265013456e-01
2  5  7.51906891819089651e-02
2  6  8.41318989114370197e-03
3  0  8.79290136508643627e-02
3  1  -2.45375977829098701e-03
3  2  4.83801448717713356e-02
3  3  1.45607639104127884e-01
3  4  1.84933541691862047e-01
3  5  1.03002565563656390e-01
3  6  1.00311076967045665e-02
4  0  1.11615257337689400e-02
4  1  -4.16735978797078133e-02
4  2  1.39512727037072182e-03
4  3  2.42213734891265631e-01
4  4  3.13780162017792463e-01
4  5  2.00853608374018222e-01
4  6  2.07512435299577191e-02
5  0  -2.43007629178464413e-01
5  1  -1.64020924828946590e-01
5  2  -7.81642217189073563e-02
5  3  4.07834663987159729e-01
5  4  5.32552235294133425e-01
5  5  4.13703455182258040e-01
5  6  6.99090810667257756e-02
6  0  -5.88511811569333076e-01
6  1  -3.69511544704437256e-05
6  2  7.27178703993558884e-01
6  3  -2.95423394069075584e-01
6  4  1.31963253952562809e-01
6  5  2.33506640652194619e-01
6  6  7.77077462989836931e-01
