numXbins 7
numYbins 7
xbin  ybin  z
0  0  7.29748111532119647e-05
0  1  5.52030287244638609e-05
0  2  4.18086252880019288e-05
0  3  2.78355813006151368e-05
0  4  1.50952616688643315e-05
0  5  -3.27087140235817554e-05
0  6  2.67498904766078064e-05
1  0  5.52030287244638609e-05
1  1  4.45867122990841394e-05
1  2  3.61694157041623896e-05
1  3  2.77764853423733360e-05
1  4  2.58515626866905804e-05
1  5  3.10664779131362525e-06
1  6  -1.12575623496489358e-05
2  0  4.18086252880019288e-05
2  1  3.61694157041623896e-05
2  2  3.30023064239458419e-05
2  3  2.95176453340337140e-05
2  4  3.64151882373294606e-05
2  5  3.56773467982591882e-05
2  6  -4.21586167231351785e-05
3  0  2.78355813006151368e-05
3  1  2.77764853423733360e-05
3  2  2.95176453340337140e-05
3  3  3.10161607069803593e-05
3  4  4.74579622791790318e-05
3  5  6.92395353046442857e-05
3  6  -7.50134487059805828e-05
4  0  1.50952616688643315e-05
4  1  2.58515626866905804e-05
4  2  3.64151882373294606e-05
4  3  4.74579622791790386e-05
4  4  8.94139967626569025e-05
4  5  1.61839854674671334e-04
4  6  -1.65257164730319046e-04
5  0  -3.27087140235817554e-05
5  1  3.10664779131363075e-06
5  2  3.56773467982592017e-05
5  3  6.92395353046442992e-05
5  4  1.61839854674671361e-04
5  5  3.47014726513503310e-04
5  6  -2.86971578395828100e-04
6  0  2.67498904766078064e-05
6  1  -1.12575623496489239e-05
6  2  -4.21586167231351785e-05
6  3  -7.50134487059806100e-05
6  4  -1.65257164730318992e-04
6  5  -2.86971578395828154e-04
6  6  1.99163126558358963e-03
