numXbins 7
numYbins 7
xbin  ybin  z
0  0  1.87085194141928576e-05
0  1  1.40405402726183875e-05
0  2  1.07885083855651120e-05
0  3  7.22724968480563362e-06
0  4  3.66901960641521398e-06
0  5  -9.58592024265607142e-06
0  6  -2.67739684726127604e-05
1  0  1.40405402726183909e-05
1  1  1.07786288941062497e-05
1  2  8.43971364999522022e-06
1  3  5.93195293291741383e-06
1  4  3.90254658569168903e-06
1  5  -4.90025429217467949e-06
1  6  -1.98690858302990709e-05
2  0  1.07885083855651136e-05
2  1  8.43971364999521852e-06
2  2  6.85329403683239204e-06
2  3  5.12814740514866443e-06
2  4  4.17050618652498204e-06
2  5  -1.37202993412933231e-06
2  6  -1.44509341641164491e-05
3  0  7.22724968480563278e-06
3  1  5.93195293291741383e-06
3  2  5.12814740514866528e-06
3  3  4.25663037012179729e-06
3  4  4.53891858270557054e-06
3  5  2.60792944835680007e-06
3  6  -8.94825143155009628e-06
4  0  3.66901960641521398e-06
4  1  3.90254658569168903e-06
4  2  4.17050618652498204e-06
4  3  4.53891858270557138e-06
4  4  7.45081183810073747e-06
4  5  1.16967757433113771e-05
4  6  -2.45355106050161845e-06
5  0  -9.58592024265607142e-06
5  1  -4.90025429217467864e-06
5  2  -1.37202993412933379e-06
5  3  2.60792944835680050e-06
5  4  1.16967757433113771e-05
5  5  3.25568606485606227e-05
5  6  2.54255496100273415e-05
6  0  -2.67739684726127604e-05
6  1  -1.98690858302990709e-05
6  2  -1.44509341641164491e-05
6  3  -8.94825143155009628e-06
6  4  -2.45355106050162014e-06
6  5  2.54255496100273415e-05
6  6  1.84543730538609029e-04
