numXbins 7
numYbins 7
xbin  ybin  z
0  0  7.42984849905604675e-06
0  1  5.56782602282287560e-06
0  2  4.17580036453184008e-06
0  3  2.71317032563224355e-06
0  4  1.25784581656559865e-06
0  5  -3.99645959444814263e-06
0  6  -6.57963829566366214e-07
1  0  5.56782602282287560e-06
1  1  4.41740808571260696e-06
1  2  3.52629845644825442e-06
1  3  2.62097602525606583e-06
1  4  2.20182892192905794e-06
1  5  -5.67845188294919515e-07
1  6  -3.25742342281960981e-06
2  0  4.17580036453184008e-06
2  1  3.52629845644825357e-06
2  2  3.13347413922048569e-06
2  3  2.70340426661428591e-06
2  4  3.11875057919678363e-06
2  5  2.47520231444304584e-06
2  6  -5.39328065779897073e-06
3  0  2.71317032563224398e-06
3  1  2.62097602525606541e-06
3  2  2.70340426661428549e-06
3  3  2.76053001020452700e-06
3  4  4.07838026852244970e-06
3  5  5.62429038841683164e-06
3  6  -7.69474041230493594e-06
4  0  1.25784581656559865e-06
4  1  2.20182892192905794e-06
4  2  3.11875057919678363e-06
4  3  4.07838026852244970e-06
4  4  7.70117206929040722e-06
4  5  1.39371350953736125e-05
4  6  -1.50703021164612221e-05
5  0  -3.99645959444814094e-06
5  1  -5.67845188294919304e-07
5  2  2.47520231444304668e-06
5  3  5.62429038841683249e-06
5  4  1.39371350953736159e-05
5  5  3.09298676413675335e-05
5  6  -2.36148255413299759e-05
6  0  -6.57963829566368861e-07
6  1  -3.25742342281960812e-06
6  2  -5.39328065779897073e-06
6  3  -7.69474041230493594e-06
6  4  -1.50703021164612221e-05
6  5  -2.36148255413299759e-05
6  6  1.75450311445130545e-04
