numXbins 7
numYbins 7
xbin  ybin  z
0  0  1.57611198689348034e-04
0  1  1.40056870455580312e-04
0  2  1.16954750250958126e-04
0  3  9.15093149914337009e-05
0  4  8.91517946305193991e-05
0  5  3.57163011197266146e-05
0  6  -3.58453691340968744e-04
1  0  1.40056870455580284e-04
1  1  1.24457697961388112e-04
1  2  1.03928632237286801e-04
1  3  8.13172438368131752e-05
1  4  7.92222980047231336e-05
1  5  3.17383117486316161e-05
1  6  -3.18530045009166019e-04
2  0  1.16954750250958126e-04
2  1  1.03928632237286814e-04
2  2  8.67857977098706695e-05
2  3  6.79041157573703562e-05
2  4  6.61547273426186193e-05
2  5  2.65031362750999219e-05
2  6  -2.65989106712823640e-04
3  0  9.15093149914336873e-05
3  1  8.13172438368131616e-05
3  2  6.79041157573703562e-05
3  3  5.31304551950430504e-05
3  4  5.17616750886824601e-05
3  5  2.07369417698289876e-05
3  6  -2.08118788661809418e-04
4  0  8.91517946305193991e-05
4  1  7.92222980047231471e-05
4  2  6.61547273426186193e-05
4  3  5.17616750886824736e-05
4  4  5.04281583538230478e-05
4  5  2.02027036712262044e-05
4  6  -2.02757101911067689e-04
5  0  3.57163011197265129e-05
5  1  3.17383117486316161e-05
5  2  2.65031362750999693e-05
5  3  2.07369417698289842e-05
5  4  2.02027036712262349e-05
5  5  8.09367720240042741e-06
5  6  -8.12292532756234061e-05
6  0  -3.58453691340968527e-04
6  1  -3.18530045009166073e-04
6  2  -2.65989106712823803e-04
6  3  -2.08118788661809282e-04
6  4  -2.02757101911067554e-04
6  5  -8.12292532756227285e-05
6  6  8.15227914668797266e-04
