numXbins 7
numYbins 7
xbin  ybin  z
0  0  8.43153589570402341e-05
0  1  7.71955679032501103e-05
0  2  7.60434104831405103e-05
0  3  7.22352755171539205e-05
0  4  9.52656696870521406e-05
0  5  1.25670509855722618e-04
0  6  5.87216103287617754e-05
1  0  7.71955679032501103e-05
1  1  7.06769890755202423e-05
1  2  6.96221225902263598e-05
1  3  6.61355556706531432e-05
1  4  8.72212081421895298e-05
1  5  1.15058590712356331e-04
1  6  5.37630167693619069e-05
2  0  7.60434104831405239e-05
2  1  6.96221225902263734e-05
2  2  6.85830001726460674e-05
2  3  6.51484708772034199e-05
2  4  8.59194162792434996e-05
2  5  1.13341321021397627e-04
2  6  5.29605942938134145e-05
3  0  7.22352755171539476e-05
3  1  6.61355556706531568e-05
3  2  6.51484708772034335e-05
3  3  6.18859374327961374e-05
3  4  8.16167064019335833e-05
3  5  1.07665365078201387e-04
3  6  5.03084106309776395e-05
4  0  9.52656696870521135e-05
4  1  8.72212081421895434e-05
4  2  8.59194162792434996e-05
4  3  8.16167064019335698e-05
4  4  1.07638132994803906e-04
4  5  1.41991748945985419e-04
4  6  6.63479774298523269e-05
5  0  1.25670509855722564e-04
5  1  1.15058590712356358e-04
5  2  1.13341321021397641e-04
5  3  1.07665365078201401e-04
5  4  1.41991748945985473e-04
5  5  1.87309610523558960e-04
5  6  8.75234927639285606e-05
6  0  5.87216103287618364e-05
6  1  5.37630167693618866e-05
6  2  5.29605942938134823e-05
6  3  5.03084106309776666e-05
6  4  6.63479774298522592e-05
6  5  8.75234927639288724e-05
6  6  4.08967898880665040e-05
