numXbins 7
numYbins 7
xbin  ybin  z
0  0  2.57678938237082653e-04
0  1  2.20793455574821789e-04
0  2  2.00979947044537492e-04
0  3  1.71877819891826707e-04
0  4  1.87265508519911337e-04
0  5  1.63543996584113399e-04
0  6  -3.35656311753782606e-04
1  0  2.20793455574822169e-04
1  1  1.88948083679415943e-04
1  2  1.72428671481228364e-04
1  3  1.47595336425438599e-04
1  4  1.60436992653242231e-04
1  5  1.39440098745570755e-04
1  6  -3.13628723855418571e-04
2  0  2.00979947044537113e-04
2  1  1.72428671481227985e-04
2  2  1.56558682391641540e-04
2  3  1.33766521894059225e-04
2  4  1.46080436752586473e-04
2  5  1.28188440823980183e-04
2  6  -2.38148866889190163e-04
3  0  1.71877819891826707e-04
3  1  1.47595336425438247e-04
3  2  1.33766521894059225e-04
3  3  1.14216942267828602e-04
3  4  1.24940369657343289e-04
3  5  1.10015501969084988e-04
3  6  -1.89070715288845032e-04
4  0  1.87265508519911716e-04
4  1  1.60436992653242069e-04
4  2  1.46080436752586663e-04
4  3  1.24940369657343479e-04
4  4  1.36091188679320345e-04
4  5  1.18789241139096162e-04
4  6  -2.46361618507137334e-04
5  0  1.63543996584113399e-04
5  1  1.39440098745570755e-04
5  2  1.28188440823980183e-04
5  3  1.10015501969084988e-04
5  4  1.18789241139095973e-04
5  5  1.01794003011835662e-04
5  6  -2.88249831165088115e-04
6  0  -3.35656311753781847e-04
6  1  -3.13628723855419330e-04
6  2  -2.38148866889189404e-04
6  3  -1.89070715288844652e-04
6  4  -2.46361618507137713e-04
6  5  -2.88249831165087735e-04
6  6  -2.38534038166188797e-03
