numXbins 7
numYbins 7
xbin  ybin  z
0  0  2.90864660751320346e-06
0  1  2.70369981261412663e-06
0  2  2.51750569940764356e-06
0  3  2.34983029994080568e-06
0  4  3.19040828565578801e-06
0  5  3.93638100518257259e-06
0  6  -1.76669715286440115e-06
1  0  2.70369981261412536e-06
1  1  2.52049693260150323e-06
1  2  2.35602089179965421e-06
1  3  2.20727438105558797e-06
1  4  3.00998279244588346e-06
1  5  3.75324146308578164e-06
1  6  -1.61727580611897559e-06
2  0  2.51750569940764272e-06
2  1  2.35602089179965421e-06
2  2  2.21358779045293757e-06
2  3  2.08395112493617006e-06
2  4  2.85799813626855816e-06
2  5  3.61219472887463886e-06
2  6  -1.47482105976916552e-06
3  0  2.34983029994080568e-06
3  1  2.20727438105558882e-06
3  2  2.08395112493617048e-06
3  3  1.97091080043639206e-06
3  4  2.71730713001265810e-06
3  5  3.47705963508949743e-06
3  6  -1.34868298836021814e-06
4  0  3.19040828565578717e-06
4  1  3.00998279244588346e-06
4  2  2.85799813626855731e-06
4  3  2.71730713001265810e-06
4  4  3.76908944598832035e-06
4  5  4.89020773539777514e-06
4  6  -1.78631333109299821e-06
5  0  3.93638100518257175e-06
5  1  3.75324146308578122e-06
5  2  3.61219472887463759e-06
5  3  3.47705963508949743e-06
5  4  4.89020773539777599e-06
5  5  6.54288662597677186e-06
5  6  -2.06919865842684704e-06
6  0  -1.76669715286439713e-06
6  1  -1.61727580611897538e-06
6  2  -1.47482105976916510e-06
6  3  -1.34868298836021666e-06
6  4  -1.78631333109299778e-06
6  5  -2.06919865842684788e-06
6  6  1.15823684709404662e-06
