numXbins 7
numYbins 7
xbin  ybin  z
0  0  2.14259236056378498e-06
0  1  1.93730132015459811e-06
0  2  1.70523978761334356e-06
0  3  1.49937087255675708e-06
0  4  1.90442623929567583e-06
0  5  2.15159093118540122e-06
0  6  2.72652360783831300e-06
1  0  1.93730132015459853e-06
1  1  1.75471830128239434e-06
1  2  1.54701270785304011e-06
1  3  1.36244267434019308e-06
1  4  1.73497061141317645e-06
1  5  1.98241967815802277e-06
1  6  2.67414581253820273e-06
2  0  1.70523978761334356e-06
2  1  1.54701270785304011e-06
2  2  1.36592227332974900e-06
2  3  1.20474832044653314e-06
2  4  1.53779146458152779e-06
2  5  1.77520250681787971e-06
2  6  2.52465666150477951e-06
3  0  1.49937087255675687e-06
3  1  1.36244267434019286e-06
3  2  1.20474832044653293e-06
3  3  1.06417020475565401e-06
3  4  1.36154822231015045e-06
3  5  1.58762446113008982e-06
3  6  2.37086526170600505e-06
4  0  1.90442623929567583e-06
4  1  1.73497061141317645e-06
4  2  1.53779146458152674e-06
4  3  1.36154822231015045e-06
4  4  1.74849354809378536e-06
4  5  2.07085585151382796e-06
4  6  3.31821751460658576e-06
5  0  2.15159093118540207e-06
5  1  1.98241967815802361e-06
5  2  1.77520250681787887e-06
5  3  1.58762446113008939e-06
5  4  2.07085585151382796e-06
5  5  2.61078436072483836e-06
5  6  5.28031569338184345e-06
6  0  2.72652360783831300e-06
6  1  2.67414581253820230e-06
6  2  2.52465666150477908e-06
6  3  2.37086526170600462e-06
6  4  3.31821751460658492e-06
6  5  5.28031569338184430e-06
6  6  1.78279143168748197e-05
