numXbins 7
numYbins 7
xbin  ybin  z
0  0  1.57722788824726084e-06
0  1  1.35961845520552153e-06
0  2  1.13834309827229402e-06
0  3  9.51303112453221669e-07
0  4  1.11176195548498528e-06
0  5  7.56949049031648383e-07
0  6  -2.56058521969404689e-06
1  0  1.35961845520552175e-06
1  1  1.17357627847519396e-06
1  2  9.84224336555886985e-07
1  3  8.23916967082202104e-07
1  4  9.65507103125154142e-07
1  5  6.71931281907761130e-07
1  6  -2.12162096020793637e-06
2  0  1.13834309827229402e-06
2  1  9.84224336555887196e-07
2  2  8.27174991263241125e-07
2  3  6.93945144802722858e-07
2  4  8.15976711313257042e-07
2  5  5.83272091465018516e-07
2  6  -1.68500965046490253e-06
3  0  9.51303112453221775e-07
3  1  8.23916967082201998e-07
3  2  6.93945144802722752e-07
3  3  5.83452349311493664e-07
3  4  6.88418403259272017e-07
3  5  5.05164664861993332e-07
3  6  -1.32991748316217501e-06
4  0  1.11176195548498549e-06
4  1  9.65507103125153930e-07
4  2  8.15976711313256830e-07
4  3  6.88418403259271806e-07
4  4  8.16633986847683767e-07
4  5  6.23300376735251508e-07
4  6  -1.40894437234156052e-06
5  0  7.56949049031648383e-07
5  1  6.71931281907761024e-07
5  2  5.83272091465018411e-07
5  3  5.05164664861993544e-07
5  4  6.23300376735251720e-07
5  5  6.07525702637137191e-07
5  6  -1.51156352647221726e-07
6  0  -2.56058521969404774e-06
6  1  -2.12162096020793722e-06
6  2  -1.68500965046490253e-06
6  3  -1.32991748316217564e-06
6  4  -1.40894437234156073e-06
6  5  -1.51156352647221435e-07
6  6  8.91245333684754533e-06
