numXbins 5
numYbins 5
xbin  ybin  z
0  0  6.90375375403164071e-01
0  1  3.93335587890760507e-01
0  2  4.48561194290959975e-01
0  3  -1.70050844131310441e-01
0  4  -2.07332802196447119e-01
1  0  1.34525021035187820e-01
1  1  2.36992227446535253e-01
1  2  3.24431886163438321e-01
1  3  1.56993406289984705e-02
1  4  -8.98083098633151167e-02
2  0  5.49488591486806399e-02
2  1  2.06199347674555611e-01
2  2  4.91002105918596499e-01
2  3  9.82347591191228275e-02
2  4  -1.01707104725051067e-01
3  0  -8.52209438471618341e-02
3  1  2.90950472714030184e-01
3  2  6.56799934324226342e-01
3  3  3.87824188149807014e-01
3  4  -1.45615140387008069e-01
4  0  2.82233183395874221e-01
4  1  1.05050755053525791e-01
4  2  4.83815907500684261e-02
4  3  -1.69045789607480401e-01
4  4  -4.01046239667266491e-02
