numXbins 5
numYbins 5
xbin  ybin  z
0  0  7.70443791210038677e-08
0  1  -1.60832697477411997e-07
0  2  -7.15112146743579365e-07
0  3  -1.64311977630809018e-06
0  4  5.62920275483515635e-07
1  0  -1.60832697477407047e-07
1  1  3.35743591848964570e-07
1  2  1.49282033124041599e-06
1  3  3.43006704599497507e-06
1  4  -1.17511475079246615e-06
2  0  -7.15112146743580530e-07
2  1  1.49282033124041535e-06
2  2  6.63754304018778534e-06
2  3  1.52511438731570304e-05
2  4  -5.22492531238735586e-06
3  0  -1.64311977630807091e-06
3  1  3.43006704599498989e-06
3  2  1.52511438731570422e-05
3  3  3.50426939654397812e-05
3  4  -1.20053590889355844e-05
4  0  5.62920275483515529e-07
4  1  -1.17511475079246424e-06
4  2  -5.22492531238735247e-06
4  3  -1.20053590889355844e-05
4  4  4.11294425583924211e-06
