numXbins 5
numYbins 5
xbin  ybin  z
0  0  9.87390893623206348e-04
0  1  3.56616020482357484e-04
0  2  3.85210613510800031e-04
0  3  4.98142041208772535e-04
0  4  2.64764003951703563e-04
1  0  3.56616020482357484e-04
1  1  1.28799026693478778e-04
1  2  1.39126537347032670e-04
1  3  1.79913986971224200e-04
1  4  9.56248290985986320e-05
2  0  3.85210613510799976e-04
2  1  1.39126537347032642e-04
2  2  1.50282140254366452e-04
2  3  1.94340055745723263e-04
2  4  1.03292328353933046e-04
3  0  4.98142041208772535e-04
3  1  1.79913986971224173e-04
3  2  1.94340055745723236e-04
3  3  2.51314342498216298e-04
3  4  1.33574334358241579e-04
4  0  2.64764003951703617e-04
4  1  9.56248290985986320e-05
4  2  1.03292328353933046e-04
4  3  1.33574334358241552e-04
4  4  7.09951633555253487e-05
