numXbins 5
numYbins 5
xbin  ybin  z
0  0  6.46685039694123304e-03
0  1  2.47197187789239409e-03
0  2  2.46840082034749603e-03
0  3  2.90065981344703487e-03
0  4  1.92223814370778043e-03
1  0  2.47197187789239322e-03
1  1  9.48789761579128007e-04
1  2  9.50452450492413514e-04
1  3  1.12316105830832531e-03
1  4  7.31655576192237261e-04
2  0  2.46840082034749603e-03
2  1  9.50452450492413948e-04
2  2  9.54713291650365579e-04
2  3  1.13326756495566979e-03
2  4  7.28011835752961174e-04
3  0  2.90065981344703357e-03
3  1  1.12316105830832531e-03
3  2  1.13326756495567000e-03
3  3  1.35630782717537611e-03
3  4  8.50029781801078387e-04
4  0  1.92223814370777956e-03
4  1  7.31655576192237369e-04
4  2  7.28011835752961174e-04
4  3  8.50029781801078387e-04
4  4  5.74077801768881632e-04
