numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.45933170424895108e-05
0  1  9.31827090565585509e-06
0  2  9.20974430548177306e-06
0  3  1.07690135832555985e-05
0  4  6.96355096603701272e-06
1  0  9.31827090565585170e-06
1  1  3.53064096726672282e-06
1  2  3.48952084267577412e-06
1  3  4.08031929089079492e-06
1  4  2.63845069190007731e-06
2  0  9.20974430548177306e-06
2  1  3.48952084267577327e-06
2  2  3.44887962960883906e-06
2  3  4.03279725759207376e-06
2  4  2.60772159138153975e-06
3  0  1.07690135832555968e-05
3  1  4.08031929089079492e-06
3  2  4.03279725759207292e-06
3  3  4.71557591665984088e-06
3  4  3.04922572304439871e-06
4  0  6.96355096603700848e-06
4  1  2.63845069190007519e-06
4  2  2.60772159138153891e-06
4  3  3.04922572304439871e-06
4  4  1.97171621757316090e-06
