numXbins 5
numYbins 5
xbin  ybin  z
0  0  -1.44492112257433420e-03
0  1  -2.98951890002522355e-04
0  2  7.55421169051132444e-06
0  3  8.35862619706848704e-04
0  4  -8.31976647300251707e-04
1  0  -2.98951890002522355e-04
1  1  -2.73141065811728049e-05
1  2  8.06724660576871425e-05
1  3  3.85947348443356128e-04
1  4  -2.30944611019973729e-04
2  0  7.55421169051132444e-06
2  1  8.06724660576871425e-05
2  2  1.81158384682980541e-04
2  3  4.83519819646205363e-04
2  4  -1.30352721376075412e-04
3  0  8.35862619706848704e-04
3  1  3.85947348443356128e-04
3  2  4.83519819646205363e-04
3  3  8.30149884122623389e-04
3  4  1.18587552608802896e-04
4  0  -8.31976647300251707e-04
4  1  -2.30944611019973729e-04
4  2  -1.30352721376075412e-04
4  3  1.18587552608802896e-04
4  4  -3.78909336559261824e-04
