numXbins 5
numYbins 5
xbin  ybin  z
0  0  9.80675771361123770e-06
0  1  4.94176467071000315e-06
0  2  5.82276359493360336e-06
0  3  8.75186958182333518e-06
0  4  1.55009352945120547e-06
1  0  4.94176467071000315e-06
1  1  2.64727388583226077e-06
1  2  3.18774005048900377e-06
1  3  4.95886764009632501e-06
1  4  6.41202303971757054e-07
2  0  5.82276359493360505e-06
2  1  3.18774005048900420e-06
2  2  3.86666943016178587e-06
2  3  6.08230326796185787e-06
2  4  6.94469783826499550e-07
3  0  8.75186958182333518e-06
3  1  4.95886764009632586e-06
3  2  6.08230326796185618e-06
3  3  9.72734926890441055e-06
3  4  8.94547239342643478e-07
4  0  1.55009352945120568e-06
4  1  6.41202303971757371e-07
4  2  6.94469783826500185e-07
4  3  8.94547239342643796e-07
4  4  3.69658912935303958e-07
