numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.79008082262969322e-05
0  1  9.12394907516505310e-06
0  2  1.09107068178645412e-05
0  3  1.63335836314425360e-05
0  4  2.73176282963241215e-06
1  0  9.12394907516505310e-06
1  1  4.70895569272370912e-06
1  2  5.66165448432748496e-06
1  3  8.52943299201198833e-06
1  4  1.33993933620506397e-06
2  0  1.09107068178645395e-05
2  1  5.66165448432748496e-06
2  2  6.82283432633437254e-06
2  3  1.03063552069158227e-05
2  4  1.57498827168752656e-06
3  0  1.63335836314425360e-05
3  1  8.52943299201199002e-06
3  2  1.03063552069158260e-05
3  3  1.56166608412947663e-05
3  4  2.30959864582681887e-06
4  0  2.73176282963241131e-06
4  1  1.33993933620506397e-06
4  2  1.57498827168752656e-06
4  3  2.30959864582681887e-06
4  4  4.63843833659931506e-07
