numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.61844494346868979e-05
0  1  7.65098838128477183e-06
0  2  8.13350815782092313e-06
0  3  1.13777093776004362e-05
0  4  3.97657085424033259e-06
1  0  7.65098838128477183e-06
1  1  3.62615407893590679e-06
1  2  3.84390841721163975e-06
1  3  5.37992960623338466e-06
1  4  1.89471246565894806e-06
2  0  8.13350815782091974e-06
2  1  3.84390841721163805e-06
2  2  4.08763240776118189e-06
2  3  5.71772630441365450e-06
2  4  1.99666067463412883e-06
3  0  1.13777093776004311e-05
3  1  5.37992960623338211e-06
3  2  5.71772630441365196e-06
3  3  7.99873188937608021e-06
3  4  2.79756959362442785e-06
4  0  3.97657085424033428e-06
4  1  1.89471246565894806e-06
4  2  1.99666067463413095e-06
4  3  2.79756959362442997e-06
4  4  1.00086850810431987e-06
