numXbins 5
numYbins 5
xbin  ybin  z
0  0  6.16862246533855796e-01
0  1  3.13335858751088381e-01
0  2  -1.14490891341120005e-01
0  3  5.30904325423762202e-02
0  4  1.79354324354790151e-02
1  0  2.88647701963782310e-02
1  1  4.10360699752345681e-01
1  2  1.21222799585666507e-01
1  3  6.04835590347647667e-02
1  4  -3.27549371868371964e-02
2  0  -1.45467035705223680e-01
2  1  8.32080330466851592e-01
2  2  3.24817877844907343e-01
2  3  2.45744682382792234e-01
2  4  -9.65082473121583462e-02
3  0  -1.71898787026293576e-01
3  1  5.72845942806452513e-01
3  2  2.18698141165077686e-01
3  3  5.70123578771017492e-01
3  4  -6.54725654167123139e-02
4  0  7.73543741088360548e-02
4  1  4.33724059257656336e-01
4  2  -2.04640801995992661e-01
4  3  1.26697316882200539e-01
4  4  5.56051165098324418e-01
