numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.31668267083278901e-04
0  1  2.20802315769068971e-05
0  2  9.17920817618252813e-06
0  3  8.85182216269019657e-06
0  4  5.31166138700167403e-05
1  0  2.20802315769069039e-05
1  1  5.23853849497079885e-05
1  2  1.16103491676276119e-04
1  3  9.10175462860725163e-05
1  4  3.51884488774611233e-05
2  0  9.17920817618252305e-06
2  1  1.16103491676276092e-04
2  2  2.79498890480684673e-04
2  3  2.47293613740600868e-04
2  4  6.54712818587137747e-05
3  0  8.85182216269019318e-06
3  1  9.10175462860725163e-05
3  2  2.47293613740600868e-04
3  3  3.07724736249072339e-04
3  4  7.29066678068338893e-05
4  0  5.31166138700167403e-05
4  1  3.51884488774611097e-05
4  2  6.54712818587137747e-05
4  3  7.29066678068338757e-05
4  4  2.25734711942213520e-04
