numXbins 5
numYbins 5
xbin  ybin  z
0  0  3.97779163168038777e-06
0  1  -6.40996115269339741e-06
0  2  -1.64737764140241268e-05
0  3  -1.26664929035132952e-05
0  4  1.82087072964331689e-06
1  0  -6.40996115269339657e-06
1  1  1.03292494387598937e-05
1  2  2.65464550759897288e-05
1  3  2.04112570416585555e-05
1  4  -2.93421871274828872e-06
2  0  -1.64737764140241200e-05
2  1  2.65464550759897356e-05
2  2  6.82251194803314902e-05
2  3  5.24574918355268983e-05
2  4  -7.54102277255611811e-06
3  0  -1.26664929035132985e-05
3  1  2.04112570416585555e-05
3  2  5.24574918355268983e-05
3  3  4.03339484142300260e-05
3  4  -5.79820370467693996e-06
4  0  1.82087072964331541e-06
4  1  -2.93421871274828787e-06
4  2  -7.54102277255612150e-06
4  3  -5.79820370467694165e-06
4  4  8.33520335169277112e-07
