numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.20361383336933192e-05
0  1  4.49060421065858301e-06
0  2  2.07754562953946029e-05
0  3  6.33244952870025109e-05
0  4  1.50865683630434640e-05
1  0  4.49060421065857793e-06
1  1  1.67541495600248363e-06
1  2  7.75118637987809983e-06
1  3  2.36259535483740956e-05
1  4  5.62869963249109397e-06
2  0  2.07754562953945928e-05
2  1  7.75118637987810152e-06
2  2  3.58603043862995845e-05
2  3  1.09303769015368970e-04
2  4  2.60407726285840580e-05
3  0  6.33244952870024974e-05
3  1  2.36259535483740922e-05
3  2  1.09303769015368942e-04
3  3  3.33162646704404349e-04
3  4  7.93734087060326952e-05
4  0  1.50865683630434640e-05
4  1  5.62869963249109397e-06
4  2  2.60407726285840648e-05
4  3  7.93734087060326545e-05
4  4  1.89100971310407663e-05
