numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.60450513648368302e-04
0  1  1.05049769340887590e-04
0  2  2.70401881599838191e-04
0  3  4.58360874398763244e-04
0  4  2.70290229814135403e-04
1  0  1.05049769340887603e-04
1  1  6.87779290177792049e-05
1  2  1.77036861057713863e-04
1  3  3.00096914840679307e-04
1  4  1.76963760672630143e-04
2  0  2.70401881599838137e-04
2  1  1.77036861057713863e-04
2  2  4.55699242776942486e-04
2  3  7.72460243790769026e-04
2  4  4.55511079758629033e-04
3  0  4.58360874398763460e-04
3  1  3.00096914840679253e-04
3  2  7.72460243790769026e-04
3  3  1.30940491496354516e-03
3  4  7.72141286817935239e-04
4  0  2.70290229814135457e-04
4  1  1.76963760672630143e-04
4  2  4.55511079758629141e-04
4  3  7.72141286817935348e-04
4  4  4.55322994434808291e-04
