numXbins 5
numYbins 5
xbin  ybin  z
0  0  -8.18629245285037261e-04
0  1  -3.67595223686673479e-04
0  2  -7.04034318394057839e-04
0  3  -7.97215507061888886e-04
0  4  1.56084836449612798e-04
1  0  -3.67595223686673859e-04
1  1  -9.97801501030946505e-05
1  2  -1.37590959379320225e-04
1  3  -1.26733491045030614e-04
1  4  3.09866680941300366e-04
2  0  -7.04034318394058597e-04
2  1  -1.37590959379320225e-04
2  2  -1.17167758825230257e-04
2  3  -5.31761539220598924e-05
2  4  7.90013471072797306e-04
3  0  -7.97215507061888886e-04
3  1  -1.26733491045030614e-04
3  2  -5.31761539220568837e-05
3  3  4.27496534158351856e-05
3  4  1.00133730032961831e-03
4  0  1.56084836449612798e-04
4  1  3.09866680941300746e-04
4  2  7.90013471072798824e-04
4  3  1.00133730032961831e-03
4  4  8.50914230188956578e-04
