numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.50342867598767093e-06
0  1  4.78134100375902479e-07
0  2  6.98196103149860342e-07
0  3  1.03484183876585624e-06
0  4  4.97665847411463920e-06
1  0  4.78134100375902585e-07
1  1  4.46997932748227753e-07
1  2  9.36682188930745997e-07
1  3  9.01899005797244020e-07
1  4  1.46774711245770881e-06
2  0  6.98196103149860977e-07
2  1  9.36682188930745468e-07
2  2  2.05581133066863012e-06
2  3  1.86845572102142102e-06
2  4  2.03258705063953577e-06
3  0  1.03484183876585666e-06
3  1  9.01899005797244443e-07
3  2  1.86845572102142123e-06
3  3  1.82470054105174909e-06
3  4  3.20224959774008767e-06
4  0  4.97665847411463835e-06
4  1  1.46774711245770881e-06
4  2  2.03258705063953535e-06
4  3  3.20224959774008809e-06
4  4  1.65185849428451309e-05
