numXbins 5
numYbins 5
xbin  ybin  z
0  0  1.60252376086527032e-06
0  1  -6.36367192725935458e-07
0  2  -2.44072209259678032e-06
0  3  -2.81221456947220960e-06
0  4  4.28958536634173972e-06
1  0  -6.36367192725935563e-07
1  1  3.27541350017363759e-07
1  2  1.23043755110173359e-06
1  3  1.58638643816865517e-06
1  4  -1.51741200487220486e-06
2  0  -2.44072209259678032e-06
2  1  1.23043755110173338e-06
2  2  4.62911535918037375e-06
2  3  5.92242726809155882e-06
2  4  -5.88403688988309728e-06
3  0  -2.81221456947220918e-06
3  1  1.58638643816865517e-06
3  2  5.92242726809155882e-06
3  3  7.88234184225021084e-06
3  4  -6.36042727707355959e-06
4  0  4.28958536634173972e-06
4  1  -1.51741200487220528e-06
4  2  -5.88403688988309812e-06
4  3  -6.36042727707356044e-06
4  4  1.19444853327118663e-05
