numXbins 5
numYbins 5
xbin  ybin  z
0  0  2.42392469292158200e-06
0  1  4.92057520693989572e-06
0  2  1.18775216197445766e-05
0  3  1.21059697663732447e-05
0  4  4.06021231643578225e-07
1  0  4.92057520693989572e-06
1  1  9.98900577408741250e-06
1  2  2.41121874008695608e-05
1  3  2.45765624685993894e-05
1  4  8.24605220822420071e-07
2  0  1.18775216197445766e-05
2  1  2.41121874008695642e-05
2  2  5.82040166625048859e-05
2  3  5.93256343142634736e-05
2  4  1.99089049343870547e-06
3  0  1.21059697663732464e-05
3  1  2.45765624685993860e-05
3  2  5.93256343142634600e-05
3  3  6.04705420808145238e-05
3  4  2.03022954727960620e-06
4  0  4.06021231643579284e-07
4  1  8.24605220822419541e-07
4  2  1.99089049343870631e-06
4  3  2.03022954727960535e-06
4  4  6.86648356281131628e-08
